venv: /home/niflheim/s215142/thesis-venv/bin/activate
Heat bath temp: 2000
Heat bath temp: 1500
Heat bath temp: 1000
Heat bath temp: 500
Heat bath temp: 0
      Step     Time          Energy          fmax
BFGS:   66 18:45:13       16.861203        0.247065
BFGS:   31 18:45:14       16.976448        0.253006
BFGS:   67 18:45:14       16.852314        0.246101
BFGS:   32 18:45:14       16.992010        0.253512
BFGS:   68 18:45:14       16.856628        0.246169
BFGS:   33 18:45:14       16.972937        0.252936
BFGS:   69 18:45:14       16.862972        0.246348
BFGS:   34 18:45:14       16.964989        0.253148
BFGS:   70 18:45:14       16.871183        0.246537
BFGS:   35 18:45:14       16.965474        0.253377
BFGS:   71 18:45:14       16.878696        0.246761
BFGS:   36 18:45:14       16.966182        0.253558
BFGS:   72 18:45:14       16.886905        0.246982
BFGS:   37 18:45:15       16.968479        0.253733
BFGS:   73 18:45:15       16.894861        0.247234
BFGS:   38 18:45:15       16.966201        0.253717
BFGS:   74 18:45:15       16.903029        0.247475
BFGS:   39 18:45:15       16.964948        0.253579
BFGS:   75 18:45:15       16.911054        0.247739
BFGS:   40 18:45:15       16.962712        0.253502
BFGS:   76 18:45:15       16.918828        0.247979
BFGS:   41 18:45:15       16.961691        0.253561
BFGS:   77 18:45:15       16.926344        0.248232
BFGS:   42 18:45:15       16.960240        0.253641
BFGS:   78 18:45:15       16.933338        0.248448
BFGS:   43 18:45:16       16.958808        0.253730
BFGS:   79 18:45:16       16.940283        0.248685
BFGS:   44 18:45:16       16.957353        0.253829
BFGS:   80 18:45:16       16.946645        0.248877
BFGS:   45 18:45:16       16.955904        0.253938
BFGS:   81 18:45:16       16.953141        0.249105
BFGS:   46 18:45:16       16.954479        0.254055
BFGS:   82 18:45:16       16.958477        0.249246
BFGS:   47 18:45:16       16.953096        0.254179
BFGS:   83 18:45:16       16.964444        0.249466
BFGS:   48 18:45:16       16.951774        0.254310
BFGS:   84 18:45:17       16.966325        0.249409
BFGS:   49 18:45:17       16.950525        0.254445
BFGS:   85 18:45:17       16.967689        0.249378
BFGS:   50 18:45:17       16.949364        0.254582
BFGS:   51 18:45:17       16.948298        0.254721
BFGS:   86 18:45:17       16.968890        0.249343
BFGS:   52 18:45:17       16.947372        0.254853
BFGS:   87 18:45:17       16.970258        0.249318
BFGS:   53 18:45:17       16.946577        0.254977
BFGS:   88 18:45:17       16.971502        0.249289
BFGS:   54 18:45:17       16.945876        0.255096
BFGS:   89 18:45:17       16.972795        0.249266
BFGS:   55 18:45:17       16.945265        0.255209
BFGS:   90 18:45:17       16.974027        0.249241
BFGS:   91 18:45:18       16.975293        0.249222
BFGS:   56 18:45:18       16.944738        0.255314
BFGS:   92 18:45:18       16.976482        0.249197
BFGS:   57 18:45:18       16.944289        0.255413
BFGS:   93 18:45:18       16.977768        0.249186
BFGS:   58 18:45:18       16.943908        0.255502
BFGS:   94 18:45:18       16.978711        0.249140
BFGS:   59 18:45:18       16.943589        0.255584
BFGS:   95 18:45:18       16.979727        0.249126
BFGS:   60 18:45:18       16.943322        0.255657
BFGS:   61 18:45:18       16.943100        0.255722
BFGS:   96 18:45:19       16.979968        0.249036
BFGS:   62 18:45:19       16.942916        0.255780
BFGS:   97 18:45:19       16.973087        0.247820
BFGS:   63 18:45:19       16.942764        0.255831
BFGS:   98 18:45:19       16.974155        0.247729
BFGS:   64 18:45:19       16.942639        0.255875
BFGS:   99 18:45:19       16.974831        0.247727
BFGS:   65 18:45:19       16.942535        0.255913
BFGS:  100 18:45:19       16.975129        0.247694
BFGS:   66 18:45:19       16.942449        0.255946
BFGS:   67 18:45:19       16.942377        0.255975
BFGS:   68 18:45:20       16.942317        0.256000
BFGS:   69 18:45:20       16.942267        0.256021
BFGS:   70 18:45:20       16.942225        0.256039
BFGS:   71 18:45:20       16.942189        0.256055
BFGS:   72 18:45:20       16.942158        0.256068
BFGS:   73 18:45:20       16.942132        0.256080
BFGS:   74 18:45:21       16.942109        0.256090
BFGS:   75 18:45:21       16.942089        0.256099
BFGS:   76 18:45:21       16.942071        0.256107
BFGS:   77 18:45:21       16.942056        0.256114
BFGS:   78 18:45:21       16.942042        0.256120
BFGS:   79 18:45:21       16.942029        0.256126
BFGS:   80 18:45:22       16.942017        0.256131
BFGS:   81 18:45:22       16.942007        0.256135
BFGS:   82 18:45:22       16.941997        0.256139
BFGS:   83 18:45:22       16.941988        0.256143
BFGS:   84 18:45:22       16.941980        0.256146
BFGS:   85 18:45:22       16.941972        0.256149
BFGS:   86 18:45:23       16.941964        0.256152
BFGS:   87 18:45:23       16.941957        0.256155
BFGS:   88 18:45:23       16.941950        0.256158
BFGS:   89 18:45:23       16.941943        0.256160
BFGS:   90 18:45:23       16.941937        0.256163
BFGS:   91 18:45:23       16.941930        0.256165
BFGS:   92 18:45:24       16.941925        0.256167
BFGS:   93 18:45:24       16.941918        0.256169
BFGS:   94 18:45:24       16.941913        0.256171
BFGS:   95 18:45:24       16.941907        0.256173
BFGS:   96 18:45:24       16.941902        0.256175
BFGS:   97 18:45:24       16.941896        0.256177
BFGS:   98 18:45:25       16.941891        0.256178
BFGS:   99 18:45:25       16.941885        0.256180
BFGS:  100 18:45:25       16.941881        0.256182
Heat bath temp: 2000
Heat bath temp: 1500
Heat bath temp: 1000
Heat bath temp: 500
Heat bath temp: 0
      Step     Time          Energy          fmax
BFGS:    0 18:46:40       19.131361        0.332561
BFGS:    1 18:46:40       19.131342        0.332508
BFGS:    2 18:46:40       19.155511        0.325867
BFGS:    3 18:46:41       19.229191        0.319515
BFGS:    4 18:46:41       19.347463        0.313481
BFGS:    5 18:46:41       19.404056        0.311248
BFGS:    6 18:46:42       19.430879        0.310250
BFGS:    7 18:46:42       19.425896        0.310713
BFGS:    8 18:46:42       19.410043        0.311657
BFGS:    9 18:46:43       19.397052        0.312555
BFGS:   10 18:46:43       19.385321        0.313463
BFGS:   11 18:46:43       19.375374        0.314339
BFGS:   12 18:46:43       19.367041        0.315187
BFGS:   13 18:46:44       19.360194        0.316006
BFGS:   14 18:46:44       19.354715        0.316797
BFGS:   15 18:46:44       19.350494        0.317558
BFGS:   16 18:46:45       19.347428        0.318291
BFGS:   17 18:46:45       19.345422        0.318995
BFGS:   18 18:46:45       19.344381        0.319670
BFGS:   19 18:46:46       19.344224        0.320333
BFGS:   20 18:46:46       19.344891        0.320964
BFGS:   21 18:46:46       19.346241        0.321579
BFGS:   22 18:46:46       19.347966        0.322379
BFGS:   23 18:46:47       19.351017        0.323145
BFGS:   24 18:46:47       19.354746        0.323923
BFGS:   25 18:46:47       19.359058        0.324859
BFGS:   26 18:46:48       19.365024        0.325778
BFGS:   27 18:46:48       19.372048        0.326660
BFGS:   28 18:46:48       19.380158        0.327508
BFGS:   29 18:46:49       19.389200        0.328322
BFGS:   30 18:46:49       19.399086        0.329102
BFGS:   31 18:46:49       19.409714        0.329850
BFGS:   32 18:46:49       19.420991        0.330566
BFGS:   33 18:46:50       19.432828        0.331251
BFGS:   34 18:46:50       19.445140        0.331906
BFGS:   35 18:46:50       19.457851        0.332534
BFGS:   36 18:46:51       19.470889        0.333136
BFGS:   37 18:46:51       19.484197        0.333714
BFGS:   38 18:46:51       19.497731        0.334271
BFGS:   39 18:46:52       19.511469        0.334812
BFGS:   40 18:46:52       19.526491        0.335395
BFGS:   41 18:46:52       19.542347        0.335988
BFGS:   42 18:46:52       19.558840        0.336596
BFGS:   43 18:46:53       19.576537        0.337246
BFGS:   44 18:46:53       19.596103        0.337978
BFGS:   45 18:46:53       19.618847        0.338867
BFGS:   46 18:46:54       19.646655        0.340162
BFGS:   47 18:46:54       19.662994        0.341897
BFGS:   48 18:46:54       19.559739        0.338696
BFGS:   49 18:46:55       19.494508        0.336885
BFGS:   50 18:46:55       19.492720        0.335839
BFGS:   51 18:46:55       19.543389        0.336823
BFGS:   52 18:46:55       19.502794        0.333994
BFGS:   53 18:46:56       19.504606        0.332203
BFGS:   54 18:46:56       19.534697        0.328393
BFGS:   55 18:46:56       19.585891        0.324758
BFGS:   56 18:46:57       19.655672        0.321311
BFGS:   57 18:46:57       19.731397        0.318327
BFGS:   58 18:46:57       19.826046        0.315299
BFGS:   59 18:46:58       19.933922        0.312406
